File,Original Document Type,Detected Document Type,Classification Status
3469766.txt ,CTSca ,CTScanTextFile ,success
3470058.txt ,CTSca ,CTScanTextFile ,success
3470059.txt ,CTSca ,CTScanTextFile ,success
3470601.txt ,CTSca ,CTScanTextFile ,success
3470602.txt ,CTSca ,CTScanTextFile ,success
3470663.txt ,CTSca ,CTScanTextFile ,success
3471002.txt ,CTSca ,CTScanTextFile ,success
3471066.txt ,CTSca ,CTScanTextFile ,success
3471087.txt ,CTSca ,CTScanTextFile ,success
3471109.txt ,CTSca ,CTScanTextFile ,success
3471325.txt ,CTSca ,CTScanTextFile ,success
3471514.txt ,CTSca ,CTScanTextFile ,success
3471596.txt ,CTSca ,CTScanTextFile ,success
3471643.txt ,CTSca ,CTScanTextFile ,success
3471651.txt ,CTSca ,CTScanTextFile ,success
3471789.txt ,CTSca ,CTScanTextFile ,success
3471817.txt ,CTSca ,CTScanTextFile ,success
3471981.txt ,CTSca ,CTScanTextFile ,success
3472024.txt ,CTSca ,CTScanTextFile ,success
3472263.txt ,CTSca ,CTScanTextFile ,success
3472897.txt ,CTSca ,CTScanTextFile ,success
3473208.txt ,CTSca ,CTScanTextFile ,success
3473630.txt ,CTSca ,CTScanTextFile ,success
3473631.txt ,CTSca ,CTScanTextFile ,success
3473692.txt ,CTSca ,CTScanTextFile ,success
3473718.txt ,CTSca ,CTScanTextFile ,success
3473720.txt ,CTSca ,CTScanTextFile ,success
3473884.txt ,CTSca ,CTScanTextFile ,success
3474556.txt ,CTSca ,CTScanTextFile ,success
3474796.txt ,CTSca ,CTScanTextFile ,success
3474845.txt ,CTSca ,CTScanTextFile ,success
3474847.txt ,CTSca ,CTScanTextFile ,success
3474969.txt ,CTSca ,CTScanTextFile ,success
3475375.txt ,CTSca ,CTScanTextFile ,success
3475392.txt ,CTSca ,CTScanTextFile ,success
3475398.txt ,CTSca ,CTScanTextFile ,success
3475404.txt ,CTSca ,CTScanTextFile ,success
3475425.txt ,CTSca ,CTScanTextFile ,success
3475681.txt ,CTSca ,CTScanTextFile ,success
3475857.txt ,CTSca ,CTScanTextFile ,success
3475948.txt ,CTSca ,CTScanTextFile ,success
3475988.txt ,CTSca ,CTScanTextFile ,success
3476071.txt ,CTSca ,CTScanTextFile ,success
3476395.txt ,CTSca ,CTScanTextFile ,success
3476425.txt ,CTSca ,CTScanTextFile ,success
3476766.txt ,CTSca ,CTScanTextFile ,success
3476887.txt ,CTSca ,CTScanTextFile ,success
3476937.txt ,CTSca ,CTScanTextFile ,success
3477986.txt ,CTSca ,CTScanTextFile ,success
3478078.txt ,CTSca ,CTScanTextFile ,success
3478403.txt ,CTSca ,CTScanTextFile ,success
3478404.txt ,CTSca ,CTScanTextFile ,success
3478408.txt ,CTSca ,CTScanTextFile ,success
3478488.txt ,CTSca ,CTScanTextFile ,success
3478794.txt ,CTSca ,CTScanTextFile ,success
3478936.txt ,CTSca ,CTScanTextFile ,success
3479072.txt ,CTSca ,CTScanTextFile ,success
3479517.txt ,CTSca ,CTScanTextFile ,success
3479524.txt ,CTSca ,CTScanTextFile ,success
3479545.txt ,CTSca ,CTScanTextFile ,success
3479546.txt ,CTSca ,CTScanTextFile ,success
3479560.txt ,CTSca ,CTScanTextFile ,success
3479571.txt ,CTSca ,CTScanTextFile ,success
3479631.txt ,CTSca ,CTScanTextFile ,success
3479633.txt ,CTSca ,CTScanTextFile ,success
3479635.txt ,CTSca ,CTScanTextFile ,success
3479700.txt ,CTSca ,CTScanTextFile ,success
3480033.txt ,CTSca ,CTScanTextFile ,success
3480047.txt ,CTSca ,CTScanTextFile ,success
3480064.txt ,CTSca ,CTScanTextFile ,success
3480586.txt ,CTSca ,CTScanTextFile ,success
3480641.txt ,CTSca ,CTScanTextFile ,success
3480953.txt ,CTSca ,CTScanTextFile ,success
3481498.txt ,CTSca ,CTScanTextFile ,success
3481679.txt ,CTSca ,CTScanTextFile ,success
3482044.txt ,CTSca ,CTScanTextFile ,success
3483164.txt ,CTSca ,CTScanTextFile ,success
3483325.txt ,CTSca ,CTScanTextFile ,success
3483449.txt ,CTSca ,CTScanTextFile ,success
3483457.txt ,CTSca ,CTScanTextFile ,success
3483509.txt ,CTSca ,HospitalConsultsTextFiles ,failure
3484011.txt ,CTSca ,CTScanTextFile ,success
3484037.txt ,CTSca ,CTScanTextFile ,success
3484322.txt ,CTSca ,CTScanTextFile ,success
3484515.txt ,CTSca ,CTScanTextFile ,success
3484633.txt ,CTSca ,CTScanTextFile ,success
3484686.txt ,CTSca ,CTScanTextFile ,success
3484731.txt ,CTSca ,CTScanTextFile ,success
3484880.txt ,CTSca ,CTScanTextFile ,success
3485216.txt ,CTSca ,CTScanTextFile ,success
3485217.txt ,CTSca ,CTScanTextFile ,success
3485295.txt ,CTSca ,CTScanTextFile ,success
3486223.txt ,CTSca ,CTScanTextFile ,success
3488754.txt ,CTSca ,CTScanTextFile ,success
3488761.txt ,CTSca ,CTScanTextFile ,success
3488799.txt ,CTSca ,CTScanTextFile ,success
3488801.txt ,CTSca ,CTScanTextFile ,success
3488991.txt ,CTSca ,CTScanTextFile ,success
3489297.txt ,CTSca ,CTScanTextFile ,success
3489479.txt ,CTSca ,CTScanTextFile ,success
3490927.txt ,CTSca ,CTScanTextFile ,success
3491048.txt ,CTSca ,CTScanTextFile ,success
3491246.txt ,CTSca ,CTScanTextFile ,success
3491277.txt ,CTSca ,CTScanTextFile ,success
3492262.txt ,CTSca ,CTScanTextFile ,success
3492322.txt ,CTSca ,CTScanTextFile ,success
3492706.txt ,CTSca ,CTScanTextFile ,success
3492876.txt ,CTSca ,CTScanTextFile ,success
3492918.txt ,CTSca ,CTScanTextFile ,success
3492937.txt ,CTSca ,CTScanTextFile ,success
3493106.txt ,CTSca ,CTScanTextFile ,success
3493460.txt ,CTSca ,CTScanTextFile ,success
3493736.txt ,CTSca ,CTScanTextFile ,success
3494380.txt ,CTSca ,CTScanTextFile ,success
3494384.txt ,CTSca ,CTScanTextFile ,success
3494398.txt ,CTSca ,CTScanTextFile ,success
3494931.txt ,CTSca ,CTScanTextFile ,success
3495255.txt ,CTSca ,CTScanTextFile ,success
3495651.txt ,CTSca ,CTScanTextFile ,success
3495655.txt ,CTSca ,CTScanTextFile ,success
3495768.txt ,CTSca ,CTScanTextFile ,success
3496528.txt ,CTSca ,CTScanTextFile ,success
3496568.txt ,CTSca ,CTScanTextFile ,success
3496639.txt ,CTSca ,CTScanTextFile ,success
3496814.txt ,CTSca ,CTScanTextFile ,success
3497054.txt ,CTSca ,CTScanTextFile ,success
3497300.txt ,CTSca ,CTScanTextFile ,success
3497730.txt ,CTSca ,CTScanTextFile ,success
3497733.txt ,CTSca ,CTScanTextFile ,success
3497796.txt ,CTSca ,CTScanTextFile ,success
3497823.txt ,CTSca ,CTScanTextFile ,success
3497905.txt ,CTSca ,CTScanTextFile ,success
3498279.txt ,CTSca ,CTScanTextFile ,success
3498390.txt ,CTSca ,CTScanTextFile ,success
3498560.txt ,CTSca ,CTScanTextFile ,success
3498598.txt ,CTSca ,CTScanTextFile ,success
3498858.txt ,CTSca ,CTScanTextFile ,success
3498871.txt ,CTSca ,CTScanTextFile ,success
3498989.txt ,CTSca ,CTScanTextFile ,success
3499008.txt ,CTSca ,CTScanTextFile ,success
3499240.txt ,CTSca ,CTScanTextFile ,success
3499437.txt ,CTSca ,CTScanTextFile ,success
3499503.txt ,CTSca ,CTScanTextFile ,success
3499651.txt ,CTSca ,CTScanTextFile ,success
3499905.txt ,CTSca ,CTScanTextFile ,success
3499945.txt ,CTSca ,CTScanTextFile ,success
3499968.txt ,CTSca ,CTScanTextFile ,success
3500025.txt ,CTSca ,CTScanTextFile ,success
3500036.txt ,CTSca ,CTScanTextFile ,success
3500552.txt ,CTSca ,CTScanTextFile ,success
3501008.txt ,CTSca ,CTScanTextFile ,success
3501009.txt ,CTSca ,CTScanTextFile ,success
3501212.txt ,CTSca ,CTScanTextFile ,success
3501524.txt ,CTSca ,CTScanTextFile ,success
3501525.txt ,CTSca ,CTScanTextFile ,success
3502458.txt ,CTSca ,CTScanTextFile ,success
3502566.txt ,CTSca ,CTScanTextFile ,success
3502946.txt ,CTSca ,CTScanTextFile ,success
3503371.txt ,CTSca ,CTScanTextFile ,success
3503451.txt ,CTSca ,CTScanTextFile ,success
3504287.txt ,CTSca ,CTScanTextFile ,success
3504388.txt ,CTSca ,CTScanTextFile ,success
3504394.txt ,CTSca ,CTScanTextFile ,success
3504409.txt ,CTSca ,CTScanTextFile ,success
3504473.txt ,CTSca ,CTScanTextFile ,success
3504521.txt ,CTSca ,CTScanTextFile ,success
3504530.txt ,CTSca ,CTScanTextFile ,success
3505004.txt ,CTSca ,CTScanTextFile ,success
3505026.txt ,CTSca ,CTScanTextFile ,success
3505494.txt ,CTSca ,CTScanTextFile ,success
3505507.txt ,CTSca ,CTScanTextFile ,success
3506018.txt ,CTSca ,CTScanTextFile ,success
3506285.txt ,CTSca ,CTScanTextFile ,success
3506616.txt ,CTSca ,CTScanTextFile ,success
3506874.txt ,CTSca ,CTScanTextFile ,success
3507133.txt ,CTSca ,CTScanTextFile ,success
3507137.txt ,CTSca ,CTScanTextFile ,success
3507314.txt ,CTSca ,CTScanTextFile ,success
3507332.txt ,CTSca ,CTScanTextFile ,success
3507343.txt ,CTSca ,CTScanTextFile ,success
3507428.txt ,CTSca ,CTScanTextFile ,success
3507439.txt ,CTSca ,CTScanTextFile ,success
3507483.txt ,CTSca ,CTScanTextFile ,success
3507526.txt ,CTSca ,CTScanTextFile ,success
3507540.txt ,CTSca ,CTScanTextFile ,success
3507723.txt ,CTSca ,CTScanTextFile ,success
3508273.txt ,CTSca ,CTScanTextFile ,success
3508447.txt ,CTSca ,CTScanTextFile ,success
3508720.txt ,CTSca ,CTScanTextFile ,success
3508740.txt ,CTSca ,CTScanTextFile ,success
3508746.txt ,CTSca ,CTScanTextFile ,success
3509264.txt ,CTSca ,CTScanTextFile ,success
3509570.txt ,CTSca ,CTScanTextFile ,success
3509858.txt ,CTSca ,CTScanTextFile ,success
3509921.txt ,CTSca ,CTScanTextFile ,success
3510365.txt ,CTSca ,CTScanTextFile ,success
3510368.txt ,CTSca ,CTScanTextFile ,success
3510557.txt ,CTSca ,CTScanTextFile ,success
3510563.txt ,CTSca ,CTScanTextFile ,success
3510795.txt ,CTSca ,CTScanTextFile ,success
3510970.txt ,CTSca ,CTScanTextFile ,success
3510997.txt ,CTSca ,CTScanTextFile ,success
3510999.txt ,CTSca ,CTScanTextFile ,success
3511016.txt ,CTSca ,CTScanTextFile ,success
3511020.txt ,CTSca ,CTScanTextFile ,success
3511051.txt ,CTSca ,CTScanTextFile ,success
3511403.txt ,CTSca ,CTScanTextFile ,success
3511574.txt ,CTSca ,CTScanTextFile ,success
3512056.txt ,CTSca ,CTScanTextFile ,success
3512306.txt ,CTSca ,CTScanTextFile ,success
3512307.txt ,CTSca ,CTScanTextFile ,success
3512321.txt ,CTSca ,CTScanTextFile ,success
3512655.txt ,CTSca ,CTScanTextFile ,success
3512692.txt ,CTSca ,CTScanTextFile ,success
3513422.txt ,CTSca ,CTScanTextFile ,success
3513427.txt ,CTSca ,CTScanTextFile ,success
3513466.txt ,CTSca ,CTScanTextFile ,success
3513838.txt ,CTSca ,CTScanTextFile ,success
3514808.txt ,CTSca ,CTScanTextFile ,success
3515709.txt ,CTSca ,CTScanTextFile ,success
3515843.txt ,CTSca ,CTScanTextFile ,success
3515865.txt ,CTSca ,CTScanTextFile ,success
3515867.txt ,CTSca ,CTScanTextFile ,success
3515897.txt ,CTSca ,CTScanTextFile ,success
3516883.txt ,CTSca ,CTScanTextFile ,success
3516930.txt ,CTSca ,CTScanTextFile ,success
3516961.txt ,CTSca ,CTScanTextFile ,success
3517127.txt ,CTSca ,CTScanTextFile ,success
3517382.txt ,CTSca ,CTScanTextFile ,success
3518210.txt ,CTSca ,CTScanTextFile ,success
3519490.txt ,CTSca ,CTScanTextFile ,success
3519695.txt ,CTSca ,CTScanTextFile ,success
3519765.txt ,CTSca ,CTScanTextFile ,success
3519879.txt ,CTSca ,CTScanTextFile ,success
3520056.txt ,CTSca ,CTScanTextFile ,success
3520286.txt ,CTSca ,CTScanTextFile ,success
3520308.txt ,CTSca ,CTScanTextFile ,success
3520338.txt ,CTSca ,CTScanTextFile ,success
3520365.txt ,CTSca ,CTScanTextFile ,success
3520398.txt ,CTSca ,CTScanTextFile ,success
3520408.txt ,CTSca ,CTScanTextFile ,success
3520415.txt ,CTSca ,CTScanTextFile ,success
3520593.txt ,CTSca ,CTScanTextFile ,success
3520736.txt ,CTSca ,CTScanTextFile ,success
3520839.txt ,CTSca ,CTScanTextFile ,success
3520840.txt ,CTSca ,CTScanTextFile ,success
3520842.txt ,CTSca ,CTScanTextFile ,success
3521116.txt ,CTSca ,CTScanTextFile ,success
3521345.txt ,CTSca ,CTScanTextFile ,success
3521362.txt ,CTSca ,CTScanTextFile ,success
3521388.txt ,CTSca ,CTScanTextFile ,success
3521404.txt ,CTSca ,CTScanTextFile ,success
3521420.txt ,CTSca ,CTScanTextFile ,success
3521481.txt ,CTSca ,CTScanTextFile ,success
3521780.txt ,CTSca ,CTScanTextFile ,success
3522325.txt ,CTSca ,CTScanTextFile ,success
3522501.txt ,CTSca ,CTScanTextFile ,success
3522561.txt ,CTSca ,CTScanTextFile ,success
3522563.txt ,CTSca ,CTScanTextFile ,success
3522590.txt ,CTSca ,CTScanTextFile ,success
3522649.txt ,CTSca ,CTScanTextFile ,success
3522772.txt ,CTSca ,CTScanTextFile ,success
3523247.txt ,CTSca ,CTScanTextFile ,success
3523564.txt ,CTSca ,CTScanTextFile ,success
3523576.txt ,CTSca ,CTScanTextFile ,success
3523608.txt ,CTSca ,CTScanTextFile ,success
3523620.txt ,CTSca ,CTScanTextFile ,success
3523621.txt ,CTSca ,CTScanTextFile ,success
3523684.txt ,CTSca ,CTScanTextFile ,success
3523712.txt ,CTSca ,CTScanTextFile ,success
3523751.txt ,CTSca ,CTScanTextFile ,success
3523755.txt ,CTSca ,CTScanTextFile ,success
3523760.txt ,CTSca ,CTScanTextFile ,success
3524038.txt ,CTSca ,CTScanTextFile ,success
3524071.txt ,CTSca ,CTScanTextFile ,success
3524076.txt ,CTSca ,CTScanTextFile ,success
3524252.txt ,CTSca ,CTScanTextFile ,success
3524254.txt ,CTSca ,CTScanTextFile ,success
3524997.txt ,CTSca ,CTScanTextFile ,success
3525042.txt ,CTSca ,CTScanTextFile ,success
3525456.txt ,CTSca ,CTScanTextFile ,success
3526116.txt ,CTSca ,CTScanTextFile ,success
3526538.txt ,CTSca ,CTScanTextFile ,success
3526759.txt ,CTSca ,CTScanTextFile ,success
3526782.txt ,CTSca ,CTScanTextFile ,success
3526939.txt ,CTSca ,CTScanTextFile ,success
3527001.txt ,CTSca ,CTScanTextFile ,success
3527042.txt ,CTSca ,CTScanTextFile ,success
3527542.txt ,CTSca ,CTScanTextFile ,success
3528181.txt ,CTSca ,CTScanTextFile ,success
3528297.txt ,CTSca ,CTScanTextFile ,success
3528367.txt ,CTSca ,CTScanTextFile ,success
3528446.txt ,CTSca ,CTScanTextFile ,success
3529745.txt ,CTSca ,CTScanTextFile ,success
3529767.txt ,CTSca ,CTScanTextFile ,success
3529785.txt ,CTSca ,CTScanTextFile ,success
3530354.txt ,CTSca ,CTScanTextFile ,success
3530445.txt ,CTSca ,CTScanTextFile ,success
3530454.txt ,CTSca ,CTScanTextFile ,success
3530812.txt ,CTSca ,CTScanTextFile ,success
3531565.txt ,CTSca ,CTScanTextFile ,success
3531764.txt ,CTSca ,CTScanTextFile ,success
3531773.txt ,CTSca ,CTScanTextFile ,success
3531785.txt ,CTSca ,CTScanTextFile ,success
3531809.txt ,CTSca ,CTScanTextFile ,success
3531836.txt ,CTSca ,CTScanTextFile ,success
3531871.txt ,CTSca ,CTScanTextFile ,success
3531880.txt ,CTSca ,CTScanTextFile ,success
3531881.txt ,CTSca ,CTScanTextFile ,success
3532066.txt ,CTSca ,CTScanTextFile ,success
3532747.txt ,CTSca ,CTScanTextFile ,success
3532774.txt ,CTSca ,CTScanTextFile ,success
3532796.txt ,CTSca ,CTScanTextFile ,success
3532825.txt ,CTSca ,CTScanTextFile ,success
3532831.txt ,CTSca ,CTScanTextFile ,success
3532868.txt ,CTSca ,CTScanTextFile ,success
3533355.txt ,CTSca ,CTScanTextFile ,success
3533783.txt ,CTSca ,CTScanTextFile ,success
3534007.txt ,CTSca ,CTScanTextFile ,success
3534049.txt ,CTSca ,CTScanTextFile ,success
3534106.txt ,CTSca ,CTScanTextFile ,success
3534140.txt ,CTSca ,CTScanTextFile ,success
3534644.txt ,CTSca ,CTScanTextFile ,success
3534963.txt ,CTSca ,CTScanTextFile ,success
3535188.txt ,CTSca ,CTScanTextFile ,success
3535210.txt ,CTSca ,CTScanTextFile ,success
3535222.txt ,CTSca ,CTScanTextFile ,success
3535716.txt ,CTSca ,CTScanTextFile ,success
3535732.txt ,CTSca ,CTScanTextFile ,success
3535801.txt ,CTSca ,CTScanTextFile ,success
3535958.txt ,CTSca ,CTScanTextFile ,success
3536421.txt ,CTSca ,CTScanTextFile ,success
3536469.txt ,CTSca ,CTScanTextFile ,success
3536764.txt ,CTSca ,CTScanTextFile ,success
3536785.txt ,CTSca ,CTScanTextFile ,success
3536986.txt ,CTSca ,CTScanTextFile ,success
3537017.txt ,CTSca ,CTScanTextFile ,success
3537230.txt ,CTSca ,CTScanTextFile ,success
3537252.txt ,CTSca ,CTScanTextFile ,success
3537461.txt ,CTSca ,CTScanTextFile ,success
3537532.txt ,CTSca ,CTScanTextFile ,success
3537574.txt ,CTSca ,CTScanTextFile ,success
3537626.txt ,CTSca ,CTScanTextFile ,success
3538376.txt ,CTSca ,CTScanTextFile ,success
3538509.txt ,CTSca ,CTScanTextFile ,success
3538658.txt ,CTSca ,CTScanTextFile ,success
3538683.txt ,CTSca ,CTScanTextFile ,success
3538797.txt ,CTSca ,CTScanTextFile ,success
3539118.txt ,CTSca ,CTScanTextFile ,success
3539130.txt ,CTSca ,CTScanTextFile ,success
3539131.txt ,CTSca ,CTScanTextFile ,success
3540283.txt ,CTSca ,CTScanTextFile ,success
3540366.txt ,CTSca ,CTScanTextFile ,success
3540748.txt ,CTSca ,CTScanTextFile ,success
3540793.txt ,CTSca ,CTScanTextFile ,success
3541364.txt ,CTSca ,CTScanTextFile ,success
3542470.txt ,CTSca ,CTScanTextFile ,success
3542472.txt ,CTSca ,CTScanTextFile ,success
3542906.txt ,CTSca ,CTScanTextFile ,success
3543203.txt ,CTSca ,CTScanTextFile ,success
3543530.txt ,CTSca ,CTScanTextFile ,success
3544469.txt ,CTSca ,CTScanTextFile ,success
3546134.txt ,CTSca ,CTScanTextFile ,success
3546202.txt ,CTSca ,CTScanTextFile ,success
3546337.txt ,CTSca ,CTScanTextFile ,success
3546393.txt ,CTSca ,CTScanTextFile ,success
3546810.txt ,CTSca ,CTScanTextFile ,success
3546859.txt ,CTSca ,CTScanTextFile ,success
3547064.txt ,CTSca ,CTScanTextFile ,success
3547097.txt ,CTSca ,CTScanTextFile ,success
3547118.txt ,CTSca ,CTScanTextFile ,success
3547351.txt ,CTSca ,CTScanTextFile ,success
3547482.txt ,CTSca ,CTScanTextFile ,success
3548069.txt ,CTSca ,CTScanTextFile ,success
3548179.txt ,CTSca ,CTScanTextFile ,success
3548181.txt ,CTSca ,CTScanTextFile ,success
3548216.txt ,CTSca ,CTScanTextFile ,success
3548612.txt ,CTSca ,CTScanTextFile ,success
3548661.txt ,CTSca ,CTScanTextFile ,success
3548976.txt ,CTSca ,CTScanTextFile ,success
3549002.txt ,CTSca ,CTScanTextFile ,success
3549355.txt ,CTSca ,CTScanTextFile ,success
3550100.txt ,CTSca ,CTScanTextFile ,success
3550404.txt ,CTSca ,CTScanTextFile ,success
3550553.txt ,CTSca ,CTScanTextFile ,success
3551105.txt ,CTSca ,CTScanTextFile ,success
3551363.txt ,CTSca ,CTScanTextFile ,success
3551389.txt ,CTSca ,CTScanTextFile ,success
3551552.txt ,CTSca ,CTScanTextFile ,success
3551982.txt ,CTSca ,CTScanTextFile ,success
3551984.txt ,CTSca ,CTScanTextFile ,success
3552292.txt ,CTSca ,CTScanTextFile ,success
3552387.txt ,CTSca ,CTScanTextFile ,success
3552721.txt ,CTSca ,CTScanTextFile ,success
3552722.txt ,CTSca ,CTScanTextFile ,success
3552841.txt ,CTSca ,CTScanTextFile ,success
3553299.txt ,CTSca ,CTScanTextFile ,success
3553517.txt ,CTSca ,CTScanTextFile ,success
3554400.txt ,CTSca ,CTScanTextFile ,success
3554705.txt ,CTSca ,CTScanTextFile ,success
3555024.txt ,CTSca ,CTScanTextFile ,success
3555050.txt ,CTSca ,CTScanTextFile ,success
3555095.txt ,CTSca ,CTScanTextFile ,success
3555112.txt ,CTSca ,CTScanTextFile ,success
3555164.txt ,CTSca ,CTScanTextFile ,success
3555615.txt ,CTSca ,CTScanTextFile ,success
3556020.txt ,CTSca ,CTScanTextFile ,success
3556122.txt ,CTSca ,CTScanTextFile ,success
3556134.txt ,CTSca ,CTScanTextFile ,success
3556527.txt ,CTSca ,CTScanTextFile ,success
3556733.txt ,CTSca ,CTScanTextFile ,success
3557345.txt ,CTSca ,CTScanTextFile ,success
3557349.txt ,CTSca ,CTScanTextFile ,success
3557361.txt ,CTSca ,CTScanTextFile ,success
3557779.txt ,CTSca ,CTScanTextFile ,success
3557994.txt ,CTSca ,CTScanTextFile ,success
3558170.txt ,CTSca ,CTScanTextFile ,success
3558173.txt ,CTSca ,CTScanTextFile ,success
3558374.txt ,CTSca ,CTScanTextFile ,success
3558645.txt ,CTSca ,CTScanTextFile ,success
3558704.txt ,CTSca ,CTScanTextFile ,success
3558988.txt ,CTSca ,CTScanTextFile ,success
3559708.txt ,CTSca ,CTScanTextFile ,success
3560163.txt ,CTSca ,CTScanTextFile ,success
3560266.txt ,CTSca ,CTScanTextFile ,success
3560584.txt ,CTSca ,CTScanTextFile ,success
3560683.txt ,CTSca ,CTScanTextFile ,success
3560717.txt ,CTSca ,CTScanTextFile ,success
3561028.txt ,CTSca ,CTScanTextFile ,success
3561290.txt ,CTSca ,CTScanTextFile ,success
3562069.txt ,CTSca ,CTScanTextFile ,success
3562266.txt ,CTSca ,CTScanTextFile ,success
3562380.txt ,CTSca ,CTScanTextFile ,success
3562914.txt ,CTSca ,CTScanTextFile ,success
3563123.txt ,CTSca ,CTScanTextFile ,success
3563361.txt ,CTSca ,CTScanTextFile ,success
3563432.txt ,CTSca ,CTScanTextFile ,success
3563452.txt ,CTSca ,CTScanTextFile ,success
3563477.txt ,CTSca ,CTScanTextFile ,success
3563695.txt ,CTSca ,CTScanTextFile ,success
3564001.txt ,CTSca ,CTScanTextFile ,success
3564004.txt ,CTSca ,CTScanTextFile ,success
3564018.txt ,CTSca ,CTScanTextFile ,success
3564019.txt ,CTSca ,CTScanTextFile ,success
3564021.txt ,CTSca ,CTScanTextFile ,success
3564047.txt ,CTSca ,CTScanTextFile ,success
3564145.txt ,CTSca ,CTScanTextFile ,success
3564265.txt ,CTSca ,CTScanTextFile ,success
3564303.txt ,CTSca ,CTScanTextFile ,success
3564318.txt ,CTSca ,CTScanTextFile ,success
3564412.txt ,CTSca ,CTScanTextFile ,success
3564426.txt ,CTSca ,CTScanTextFile ,success
3564602.txt ,CTSca ,CTScanTextFile ,success
3565867.txt ,CTSca ,CTScanTextFile ,success
3566392.txt ,CTSca ,CTScanTextFile ,success
